g	sd
TCGA-A6-2682-01	0.438179698144784	0.311350408060176
TCGA-CA-6717-01	0.498538053217509	0.315755774814711
TCGA-G4-6293-01	0.467501002153278	0.315510137959005
TCGA-CK-5916-01	0.515919913604345	0.312548755271422
TCGA-G4-6309-01	0.454828870972168	0.335156159316861
TCGA-AA-3662-01	0.4328384185351	0.314680166326532
TCGA-AF-A56L-01	0.469320927789876	0.319662897266819
TCGA-NH-A6GB-01	0.42979468721175	0.298402848540372
TCGA-AD-5900-01	0.512058241128078	0.301181720671269
TCGA-NH-A50U-01	0.423847781087565	0.321440499707901
TCGA-AA-3712-01	0.441991397365795	0.330812904488689
TCGA-AZ-4614-01	0.453637316757462	0.324396763686379
TCGA-AH-6644-01	0.448633218493351	0.322088470747006
TCGA-AZ-6607-01	0.496290697823836	0.323912327738278
TCGA-AF-2693-01	0.465702309582535	0.334744805102805
TCGA-D5-6924-01	0.449151842239374	0.313984423924523
TCGA-CM-5868-01	0.453173458902175	0.320793803020884
TCGA-AF-4110-01	0.465380555829194	0.328019825637368
TCGA-A6-3809-01	0.478914093078976	0.295546207068113
TCGA-AZ-4313-01	0.420283844228683	0.305954070103253
TCGA-A6-2675-01	0.451528443426701	0.326091678593902
TCGA-AZ-6608-01	0.444350744184608	0.339718193560121
TCGA-CM-5864-01	0.45540397940861	0.328874045103546
TCGA-AA-3494-01	0.423299680582129	0.322673915167973
TCGA-AD-6895-01	0.504981152315181	0.313763455275802
TCGA-CI-6620-01	0.428708910220697	0.302517689750718
TCGA-DC-6156-01	0.465796791014677	0.318629636552601
TCGA-D5-6931-01	0.466374169543607	0.301081033404906
TCGA-CM-6165-01	0.485275109198834	0.336044657225981
TCGA-CM-5861-01	0.482083132195944	0.304011124670737
TCGA-A6-2671-01	0.466333683038355	0.335911445188731
TCGA-DC-6158-01	0.434544200209392	0.313170873594224
TCGA-AG-3742-01	0.466546192066142	0.334088155878255
TCGA-G4-6307-01	0.451508805914403	0.339962514965618
TCGA-A6-5666-01	0.426159471550275	0.308057404126099
TCGA-EI-6511-01	0.464530749751411	0.331893240832875
TCGA-CI-6624-01	0.439205199261653	0.307328164235659
TCGA-AG-3591-01	0.405702669964435	0.322095262043621
TCGA-AY-A8YK-01	0.393566095265032	0.315071727420006
TCGA-F4-6856-01	0.473385418667568	0.309220924700592
TCGA-DM-A1D7-01	0.47723276324545	0.334572763613089
TCGA-A6-2685-01	0.447190167432381	0.315561070222696
TCGA-5M-AAT6-01	0.429677272558333	0.304833495240633
TCGA-AH-6643-01	0.471465277470043	0.339304422323236
TCGA-F4-6569-01	0.486624060386729	0.31897003217718
TCGA-G4-6298-01	0.470347467958038	0.330327489675541
TCGA-AY-6196-01	0.457660398694665	0.318675348917682
TCGA-EI-6510-01	0.450257522825573	0.329080856614441
TCGA-A6-5656-01	0.467245249196422	0.321097118606478
TCGA-DY-A1DG-01	0.435990558206984	0.340092716093614
TCGA-AZ-4682-01	0.437658012357593	0.334605855876821
TCGA-EI-6884-01	0.484438840560142	0.328809749290841
TCGA-F4-6806-01	0.472354096839445	0.312822115451146
TCGA-G4-6322-01	0.440679103250033	0.322787872164816
TCGA-F5-6810-01	0.379923666794579	0.300295100147923
TCGA-5M-AAT4-01	0.454906058865955	0.320130367170637
TCGA-CL-4957-01	0.444582536030244	0.32457756018622
TCGA-DC-6681-01	0.480363454137992	0.322872254080128
TCGA-CM-6167-01	0.469048669714222	0.318728734752729
TCGA-AG-4022-01	0.442892715570783	0.321270079205008
TCGA-G4-6586-01	0.494202842395806	0.31983951908572
TCGA-EI-6514-01	0.461639722394949	0.335065645071303
TCGA-CK-4950-01	0.480115847914654	0.315609111341272
TCGA-DM-A282-01	0.474373863783217	0.332209409564807
TCGA-DY-A1DC-01	0.469454505584052	0.331686120397803
TCGA-D5-6535-01	0.467378161162008	0.323962631418031
TCGA-DM-A1HA-01	0.500091010915289	0.363367833098754
TCGA-DC-5869-01	0.463252199757025	0.31992146119894
TCGA-CM-4752-01	0.431488305049462	0.304031048510221
TCGA-AZ-4684-01	0.424565860220618	0.304964180884071
TCGA-EI-7004-01	0.464628658164045	0.30756348437279
TCGA-A6-A565-01	0.473334927467776	0.321926984036583
TCGA-D5-6531-01	0.499472035172151	0.328200173240436
TCGA-AZ-6598-01	0.535131847087837	0.335805335807707
TCGA-AD-6890-01	0.454260380101324	0.317454278829106
TCGA-AG-4021-01	0.411043086199888	0.317178215177054
TCGA-A6-6781-01	0.48733870572265	0.316375986442748
TCGA-DM-A1D9-01	0.45424026894552	0.332828537509486
TCGA-CM-4744-01	0.442795821703764	0.304078936813099
TCGA-A6-6652-01	0.481385355849192	0.344679055537622
TCGA-AD-6964-01	0.440516003877164	0.303870172544471
TCGA-SS-A7HO-01	0.422001346222869	0.315110217084154
TCGA-A6-6650-01	0.451195228959648	0.325392568846372
TCGA-DM-A0XF-01	0.459234587684925	0.324699316848123
TCGA-G4-6295-01	0.371916591696609	0.29486675977825
TCGA-F4-6461-01	0.550857859567518	0.322131551550677
TCGA-AM-5820-01	0.450624443736861	0.316317357583384
TCGA-AD-6889-01	0.548230346545715	0.338286184999849
TCGA-AZ-6605-01	0.467299908617545	0.311881269827378
TCGA-EI-6881-01	0.489172082042396	0.340459536950125
TCGA-NH-A50T-01	0.442648853067105	0.323588779186955
TCGA-G4-6323-01	0.462392071995047	0.31041093728191
TCGA-AA-3663-01	0.509830548645135	0.329870201036752
TCGA-AD-6899-01	0.463087727928624	0.309962019829952
TCGA-A6-A56B-01	0.493743719072471	0.332894470163545
TCGA-G5-6572-01	0.497437709914267	0.344147892111604
TCGA-DM-A280-01	0.461704368578425	0.314020026318237
TCGA-AG-A020-01	0.436983995021778	0.322436000362148
TCGA-AA-3713-01	0.440862888586743	0.291955106504036
TCGA-D5-5539-01	0.440150328494651	0.316063644656039
TCGA-AA-3489-01	0.476769899598115	0.321237407234747
TCGA-AA-3495-01	0.465767830788546	0.318427792262143
TCGA-AG-A01Y-01	0.432552996592576	0.316357332103744
TCGA-AZ-6601-01	0.500974406085517	0.319147290548091
TCGA-AH-6903-01	0.469460818733124	0.330738406015831
TCGA-AZ-6603-01	0.419139933324329	0.318187968202692
TCGA-CA-5254-01	0.470688734903941	0.321112368599178
TCGA-A6-A5ZU-01	0.412777154486357	0.309771038977131
TCGA-G4-6302-01	0.478150260787143	0.317557463932652
TCGA-AZ-5403-01	0.442669176194748	0.317055383334517
TCGA-AY-A54L-01	0.41984132971268	0.306706008277231
TCGA-A6-4107-01	0.491112150512192	0.32352363646049
TCGA-NH-A5IV-01	0.427325927431865	0.308936767660084
TCGA-G4-6306-01	0.471732481543133	0.332742113351871
TCGA-AD-A5EK-01	0.507920259809871	0.345863327551611
TCGA-G5-6235-01	0.459379591470425	0.328407258093079
TCGA-DC-5337-01	0.442860921792818	0.317526227060938
TCGA-CM-6675-01	0.453969526954433	0.321478415342253
TCGA-AH-6544-01	0.501153899782731	0.334438658731421
TCGA-CK-6746-01	0.481948280448475	0.324880483440157
TCGA-CA-6718-01	0.524972718524746	0.318521669444292
TCGA-CI-6621-01	0.493753547395392	0.333536373664571
TCGA-CM-6676-01	0.474500990583218	0.321700529914041
TCGA-DM-A1DB-01	0.491754259540488	0.359137166762083
TCGA-A6-6654-01	0.489618987215719	0.316004019592708
TCGA-CA-6715-01	0.439549091858739	0.337669482384726
TCGA-CM-5341-01	0.493127252651925	0.325639642813992
TCGA-CK-5912-01	0.406816032206831	0.324896266776565
TCGA-F4-6857-01	0.478665250853038	0.31001049768674
TCGA-QG-A5YW-01	0.441441013076664	0.31394340987029
TCGA-A6-5665-01	0.521318789376619	0.320187225322285
TCGA-CM-6168-01	0.486625058069926	0.316147139385475
TCGA-CL-5917-01	0.471888128719457	0.339965334629751
TCGA-AU-6004-01	0.50160840744739	0.314769690850592
TCGA-AY-5543-01	0.450767117682175	0.319388007105738
TCGA-AG-3731-01	0.451703180601614	0.30855340860453
TCGA-G4-6314-01	0.45269092679406	0.316970745129175
TCGA-DC-6683-01	0.439085816087014	0.320652931248801
TCGA-CA-5796-01	0.469914965810166	0.328394636300808
TCGA-AZ-4323-01	0.473616763008646	0.315099166095462
TCGA-EI-6882-01	0.452757331087362	0.326881191550482
TCGA-AZ-4315-01	0.468035340762452	0.32597201385185
TCGA-A6-2677-01	0.467995799896578	0.319512705557697
TCGA-DY-A1DF-01	0.376739684770881	0.317990687460577
TCGA-CM-6162-01	0.459149209730712	0.319085217442264
TCGA-F4-6703-01	0.46623396718527	0.319299708686856
TCGA-CM-5349-01	0.493633619605379	0.322520255943344
TCGA-AG-A02N-01	0.428246607159969	0.322554166261867
TCGA-AA-3506-01	0.426134137205325	0.305890337387817
TCGA-D5-6932-01	0.463549229550153	0.325003352588381
TCGA-D5-6538-01	0.468112677351192	0.338975042064535
TCGA-AA-3502-01	0.429975640297652	0.325004798125938
TCGA-NH-A8F8-01	0.450107615606843	0.315597629480538
TCGA-AF-A56N-01	0.442049005872729	0.322694437961012
TCGA-AF-6672-01	0.41734062189585	0.323736071123314
TCGA-A6-6141-01	0.469247740366008	0.320895188544996
TCGA-AD-6963-01	0.440563526463258	0.308601409483759
TCGA-EI-6917-01	0.513158185590792	0.320132613247805
TCGA-QG-A5Z2-01	0.498850758312457	0.317717777833288
TCGA-A6-2684-01	0.466696813198458	0.31613046706057
TCGA-CK-5915-01	0.498490777021746	0.348875656506737
TCGA-CM-6163-01	0.478908852287573	0.327583320272001
TCGA-AY-6197-01	0.495370792060264	0.322413966889482
TCGA-D5-6928-01	0.466758141113781	0.301414643966084
TCGA-A6-3810-01	0.456083609905372	0.316660164527011
TCGA-G4-6294-01	0.477718009623728	0.348536353975649
TCGA-A6-6137-01	0.441230995605304	0.315916049724085
TCGA-AZ-4615-01	0.487016143555381	0.307214536003022
TCGA-CK-4952-01	0.435300969106679	0.317831866560157
TCGA-CM-6172-01	0.503488785060654	0.331961506551449
TCGA-AD-6901-01	0.467415631317229	0.323274763384809
TCGA-AA-3496-01	0.464461572013021	0.318591406214281
TCGA-CK-5913-01	0.4766142481368	0.313177461970932
TCGA-DM-A28A-01	0.500574970658007	0.34772069449009
TCGA-EI-7002-01	0.471675936489526	0.342248866807811
TCGA-D5-6533-01	0.468070909945658	0.331552841228895
TCGA-QG-A5Z1-01	0.472802290311741	0.330954553967113
TCGA-D5-6923-01	0.462939131016917	0.322090061369918
TCGA-AF-2690-01	0.463338626219766	0.321031854530455
TCGA-DM-A28H-01	0.489203037058952	0.334330039961944
TCGA-G4-6320-01	0.488681843059206	0.318210008607733
TCGA-G4-6310-01	0.476729459897323	0.330753823306453
TCGA-DM-A28M-01	0.465390461578728	0.335064620539506
TCGA-DM-A288-01	0.472802791570275	0.33343540118822
TCGA-A6-2681-01	0.447867377834891	0.31297239191844
TCGA-A6-2679-01	0.455512608331655	0.313247828488742
TCGA-4N-A93T-01	0.461460614115913	0.33850912296698
TCGA-NH-A8F7-01	0.431495811530005	0.335621681942878
TCGA-AY-6386-01	0.472731059146419	0.318977579328205
TCGA-G4-6628-01	0.520345638436239	0.308618250435854
TCGA-A6-6653-01	0.551976615223299	0.340617630558402
TCGA-CM-4746-01	0.447673065062885	0.3238238690635
TCGA-F4-6855-01	0.461941015203328	0.319842448612707
TCGA-EF-5830-01	0.409801621092162	0.321191170294956
TCGA-NH-A6GA-01	0.467116754205977	0.325467399936873
TCGA-NH-A50V-01	0.478933646216402	0.320205250641212
TCGA-DY-A0XA-01	0.467334508044279	0.33383710619117
TCGA-DM-A28E-01	0.457990164036818	0.340711118197083
TCGA-AG-3725-01	0.409260654126944	0.328295269884053
TCGA-CK-6747-01	0.467519303919538	0.328017318794111
TCGA-CL-5918-01	0.463700691827416	0.328283443616491
TCGA-CI-6623-01	0.446538270966952	0.324103415474448
TCGA-A6-5667-01	0.468677535625095	0.335125434860781
TCGA-DM-A28K-01	0.443967883093396	0.330403249915723
TCGA-AA-3655-01	0.46635091061063	0.340970057473458
TCGA-AU-3779-01	0.46479895599627	0.330069402892758
TCGA-A6-5664-01	0.478438187038997	0.318209020369638
TCGA-AZ-5407-01	0.474903128918431	0.322708929633352
TCGA-CM-6169-01	0.43614717281439	0.304322266837545
TCGA-AH-6547-01	0.491428395894497	0.31834410953944
TCGA-A6-5661-01	0.529598228043518	0.319745361206727
TCGA-F4-6807-01	0.479521193294816	0.314601120798967
TCGA-QG-A5YV-01	0.466459084666287	0.334599409167583
TCGA-AY-A71X-01	0.456021718958656	0.328428181452984
TCGA-CA-5797-01	0.385858618457707	0.302361184661308
TCGA-F4-6460-01	0.492143175766461	0.336088497032157
TCGA-F5-6702-01	0.458733052435376	0.3151920465364
TCGA-AH-6549-01	0.450063710621013	0.321716360529373
TCGA-D5-6927-01	0.461745719647386	0.313385330595447
TCGA-CM-6166-01	0.471086266575453	0.323100882815691
TCGA-AH-6897-01	0.408069910087997	0.327630852194507
TCGA-G4-6304-01	0.483331932165008	0.317804077937686
TCGA-CA-5255-01	0.488441769648431	0.320465684648134
TCGA-EI-6507-01	0.495188698797772	0.332354320270758
TCGA-CK-4947-01	0.458934301329113	0.308694736911815
TCGA-D5-5540-01	0.504884498507221	0.333847480498875
TCGA-DC-6682-01	0.486530395669202	0.326637251202955
TCGA-G4-6321-01	0.493459577333958	0.312061021739044
TCGA-A6-6649-01	0.498877739055069	0.32477026652585
TCGA-CM-5348-01	0.454091686740691	0.313429242213725
TCGA-EI-6513-01	0.348785607845168	0.297372886090499
TCGA-A6-2672-01	0.494676449315811	0.30608733107439
TCGA-D5-6539-01	0.467822998956164	0.327968178823103
TCGA-AA-3510-01	0.47473053753192	0.331653466089642
TCGA-G5-6233-01	0.478466200527746	0.322893701907976
TCGA-BM-6198-01	0.459497756754721	0.331105922825189
TCGA-CA-6719-01	0.468005629517089	0.32154268175813
TCGA-DC-6154-01	0.428896257002184	0.323945457886384
TCGA-DM-A1D6-01	0.483831443117325	0.352025935071267
TCGA-CM-6674-01	0.475472634645371	0.320774814617376
TCGA-CM-4743-01	0.487367392328113	0.317207987896327
TCGA-F5-6465-01	0.441261133025954	0.318713987454581
TCGA-D5-5537-01	0.468449939800604	0.322469111962488
TCGA-F4-6463-01	0.458896674137774	0.316114658727534
TCGA-4T-AA8H-01	0.416176097548382	0.312284079369909
TCGA-A6-6782-01	0.455786116118617	0.320433584628041
TCGA-AG-3592-01	0.454060646218598	0.329778281158891
TCGA-AD-6888-01	0.441182428699267	0.317753417275584
TCGA-CM-6678-01	0.481143858466208	0.319776931368084
TCGA-CM-5344-01	0.441401351622548	0.321229150778331
TCGA-F4-6809-01	0.499850557827047	0.322214697087253
TCGA-CK-5914-01	0.493024780877194	0.339482352841585
TCGA-AZ-4681-01	0.428590279380818	0.328067109346766
TCGA-AA-3492-01	0.516138228162129	0.330326484125861
TCGA-D5-6536-01	0.459819320286752	0.310019005978276
TCGA-AA-3488-01	0.43577138515145	0.335413741436863
TCGA-A6-6140-01	0.463874606456687	0.345938154178577
TCGA-D5-6529-01	0.489222198593038	0.317649819695508
TCGA-DM-A1D0-01	0.465463955986297	0.345265025438648
TCGA-DM-A1HB-01	0.488202978819857	0.317001186072283
TCGA-D5-6920-01	0.479101890889943	0.31224809681588
TCGA-D5-6922-01	0.418869168620769	0.30506727208804
TCGA-EI-6508-01	0.423686677578141	0.325495922339895
TCGA-D5-6532-01	0.436145211454221	0.328463923500701
TCGA-5M-AATA-01	0.452955233897627	0.318037521372843
TCGA-EI-6509-01	0.426487912034495	0.338937917500387
TCGA-G4-6311-01	0.461104863879531	0.31874557311686
TCGA-A6-A566-01	0.484197928196342	0.302298214771863
TCGA-G4-6625-01	0.485344925365008	0.320559682236172
TCGA-CI-6619-01	0.444420217048067	0.309094520115918
TCGA-F5-6864-01	0.473764893415497	0.325173687475804
TCGA-A6-5659-01	0.454367120913071	0.314267532387668
TCGA-WS-AB45-01	0.491049392129391	0.30643450422933
TCGA-G4-6315-01	0.472776909879155	0.331544815098961
TCGA-D5-6541-01	0.43962816030011	0.315546342506546
TCGA-A6-2680-01	0.442072449276682	0.318949816012251
TCGA-CM-4751-01	0.472537720113725	0.30750279146553
TCGA-CM-6680-01	0.454542869957569	0.320453418693073
TCGA-AF-6136-01	0.453448557229454	0.322003502983363
TCGA-AA-3660-01	0.473722260760643	0.327948526614687
TCGA-CM-4747-01	0.465648846241643	0.317833161695116
TCGA-EF-5831-01	0.48912511267983	0.335261282391075
TCGA-DM-A28G-01	0.448473430119722	0.316364293729848
TCGA-G4-6297-01	0.451375595368414	0.313588402069155
TCGA-D5-6537-01	0.451566556412671	0.332309119754177
TCGA-CM-6170-01	0.456949445106885	0.326593501216604
TCGA-DY-A1DD-01	0.456351843622215	0.339446818820534
TCGA-AA-3494-11	0.465107847671492	0.331085683415051
TCGA-AA-3712-11	0.475502911626203	0.334706519970417
TCGA-A6-2681-11	0.455201236167014	0.327418163883208
TCGA-A6-2675-11	0.463092982315071	0.32269308773303
TCGA-AA-3663-11	0.465168448053756	0.334889410770782
TCGA-A6-2671-11	0.469259759511246	0.331125001349638
TCGA-A6-2680-11	0.464474577957983	0.334165073050741
TCGA-AZ-6598-11	0.485370286654149	0.32879833848096
TCGA-G4-6295-11	0.450875695505567	0.324636726372208
TCGA-AG-A020-11	0.469421460558009	0.326729371914568
TCGA-G4-6311-11	0.477367311986755	0.332005006442595
TCGA-G4-6625-11	0.487757690303434	0.334552005539402
TCGA-AG-A01Y-11	0.474759426056496	0.32749587021097
TCGA-A6-4107-11	0.45920007006126	0.324267501424817
TCGA-AG-A02N-11	0.46897962202037	0.330377563985447
TCGA-A6-2684-11	0.462949829801206	0.331262179850632
TCGA-G4-6320-11	0.468748961836905	0.334109344055287
TCGA-AZ-6599-11	0.471300594458411	0.336828338068799
TCGA-A6-2679-11	0.459782182167677	0.320072306932054
TCGA-G4-6314-11	0.46942242285663	0.332285215463706
TCGA-AG-3725-11	0.466545954518919	0.332170759013589
TCGA-A6-5667-11	0.468314755333067	0.342830616385342
TCGA-AA-3655-11	0.481736535951677	0.33716073432782
TCGA-AA-3510-11	0.459983536103783	0.326690444779097
TCGA-AG-A036-11	0.470724436470042	0.328463145230725
TCGA-AA-3488-11	0.465401139709614	0.328773950914277
TCGA-A6-2685-11	0.463578904717236	0.333119837810175
TCGA-G4-6298-11	0.476513943410709	0.331266893642814
TCGA-G4-6322-11	0.471753220657967	0.340604418768682
TCGA-AA-3660-11	0.47299526451161	0.335040230407198
TCGA-G4-6297-11	0.479248353028551	0.331633961784427
TCGA-AZ-6600-11	0.48028361196826	0.338713302727926
TCGA-AA-3713-11	0.461665705798606	0.329820691098183
TCGA-AA-3697-11	0.464406948782672	0.329625870384671
TCGA-AZ-6601-11	0.477429084278156	0.334239620902919
TCGA-AA-3509-11	0.470200882859561	0.329913114458616
TCGA-G4-6302-11	0.467755636999363	0.305808328272757
TCGA-AG-3731-11	0.472745268147317	0.336926388887336
TCGA-A6-2686-11	0.466444345091817	0.328635376278711
TCGA-AA-3495-11	0.461456675303716	0.325323852837793
TCGA-AG-A01W-11	0.468923904756583	0.322863185907033
TCGA-AA-3506-11	0.459999360633995	0.322893159480445
TCGA-AA-3502-11	0.459911530446486	0.322341351046562
TCGA-AA-3492-11	0.465096712615145	0.326127457445787
TCGA-A6-2682-11	0.466618198944125	0.331050504262999
