	pvalue	rho
f__Erysipelotrichaceae|g__Bulleidia	0.324652306	0.296703297
f__Erysipelotrichaceae|g__Catenibacterium	0.863235584	0.054945055
f__Erysipelotrichaceae|g__Clostridium	0.750730306	0.098901099
f__Erysipelotrichaceae|g__[Eubacterium]	0.529184737	0.192307692
f__Fusobacteriaceae|g__Fusobacterium	0.709624773	-0.115384615
f__Leptotrichiaceae|g__Leptotrichia	0.696084751	-0.120879121
f__Nitrospiraceae|g__Nitrospira	0.978311454	-0.010989011
f__Caulobacteraceae|g__Brevundimonas	0.022288507	0.637362637
f__Bradyrhizobiaceae|g__Bradyrhizobium	0.414969917	-0.247252747
f__Brucellaceae|g__Ochrobactrum	0.877522991	0.049450549
f__Hyphomicrobiaceae|g__Devosia	0.992769769	0.005494505
f__Hyphomicrobiaceae|g__Hyphomicrobium	0.877522991	0.049450549
f__Hyphomicrobiaceae|g__Rhodoplanes	0.324652306	-0.296703297
f__Rhizobiaceae|g__Agrobacterium	0.906202124	0.038461538
f__Rhizobiaceae|g__Shinella	0.806530367	-0.076923077
f__Xanthobacteraceae|g__Xanthobacter	0.920585447	0.032967033
f__Rhodobacteraceae|g__Amaricoccus	0.110259719	0.467032967
f__Rhodobacteraceae|g__Paracoccus	0.306287044	0.307692308
f__Rhodobacteraceae|g__Rhodobacter	0.436693258	0.236263736
f__Acetobacteraceae|g__Acetobacter	0.591181304	-0.164835165
f__Rhodospirillaceae|g__Inquilinus	0.764581607	0.093406593
f__Rhodospirillaceae|g__Skermanella	0.306287044	-0.307692308
f__mitochondria|g__Citrullus	0.920585447	0.032967033
f__Sphingomonadaceae|g__Kaistobacter	0.949418437	0.021978022
f__Sphingomonadaceae|g__Novosphingobium	0.175773537	-0.401098901
f__Sphingomonadaceae|g__Sphingomonas	0.750730306	-0.098901099
f__Sphingomonadaceae|g__Sphingopyxis	0.682631672	0.126373626
f__Alcaligenaceae|g__Achromobacter	0.62975814	0.148351648
f__Alcaligenaceae|g__Sutterella	0.848988507	-0.06043956
f__Burkholderiaceae|g__Lautropia	0.642828943	-0.142857143
f__Comamonadaceae|g__Acidovorax	0.848988507	0.06043956
f__Oxalobacteraceae|g__Cupriavidus	0.216629807	0.368131868
f__Oxalobacteraceae|g__Massilia	0.470352562	-0.21978022
f__Oxalobacteraceae|g__Ralstonia	0.642828943	0.142857143
f__Hydrogenophilaceae|g__Thiobacillus	0.642828943	0.142857143
f__Neisseriaceae|g__Eikenella	0.169503998	0.406593407
f__Neisseriaceae|g__Neisseria	0.834785888	-0.065934066
f__Neisseriaceae|g__Snodgrassella	0.920585447	0.032967033
f__Desulfobacteraceae|g__Desulfococcus	0.151600445	-0.423076923
f__Desulfovibrionaceae|g__Bilophila	0.834785888	0.065934066
f__Desulfovibrionaceae|g__Desulfovibrio	0.750730306	0.098901099
f__Geobacteraceae|g__Geobacter	0.209430603	-0.373626374
f__Campylobacteraceae|g__Campylobacter	0.163386081	0.412087912
f__Helicobacteraceae|g__Helicobacter	0.669269054	0.131868132
f__Aeromonadaceae|g__Aeromonas	0.493486137	-0.208791209
f__Succinivibrionaceae|g__Succinivibrio	0.77850131	0.087912088
f__Psychromonadaceae|g__Psychromonas	0.084982763	-0.5
f__Shewanellaceae|g__Shewanella	0.529184737	0.192307692
f__Enterobacteriaceae|g__Morganella	0.834785888	0.065934066
f__Enterobacteriaceae|g__Proteus	0.020901882	-0.642857143
f__Enterobacteriaceae|g__Providencia	0.315390822	-0.302197802
f__Enterobacteriaceae|g__Serratia	0.216629807	0.368131868
f__Enterobacteriaceae|g__Shigella	0.216629807	-0.368131868
f__Alcanivoracaceae|g__Alcanivorax	0.188771717	-0.39010989
f__Halomonadaceae|g__Halomonas	0.343645873	-0.285714286
f__Oceanospirillaceae|g__Oleibacter	0.792485539	-0.082417582
f__Pasteurellaceae|g__Aggregatibacter	0.848988507	-0.06043956
f__Pasteurellaceae|g__Haemophilus	0.934992303	0.027472527
f__Moraxellaceae|g__Acinetobacter	0.517155182	0.197802198
f__Moraxellaceae|g__Enhydrobacter	0.135028154	0.43956044
f__Moraxellaceae|g__Psychrobacter	0.151600445	-0.423076923
f__Pseudomonadaceae|g__Pseudomonas	0.505254856	0.203296703
f__Pseudoalteromonadaceae|g__Pseudoalteromonas	0.058133995	-0.543956044
f__Vibrionaceae|g__Vibrio	0.616791175	-0.153846154
f__Sinobacteraceae|g__Steroidobacter	0.4257588	-0.241758242
f__Xanthomonadaceae|g__Dokdonella	0.084982763	0.5
f__Xanthomonadaceae|g__Lysobacter	0.806530367	-0.076923077
f__Xanthomonadaceae|g__Pseudoxanthomonas	0.73695123	0.104395604
f__Xanthomonadaceae|g__Stenotrophomonas	0.110259719	0.467032967
