genus	pvalue	rho
f__Koribacteraceae|g__Candidatus Koribacter	0.271457628	0.32967033
f__Actinomycetaceae|g__Actinomyces	0.324652306	0.296703297
f__Actinomycetaceae|g__Mobiluncus	0.023743428	0.631868132
f__Actinomycetaceae|g__Varibaculum	0.353376452	-0.28021978
f__Brevibacteriaceae|g__Brevibacterium	0.616791175	0.153846154
f__Corynebacteriaceae|g__Corynebacterium	0.202388324	0.379120879
f__Dermabacteraceae|g__Brachybacterium	0.877522991	0.049450549
f__Dietziaceae|g__Dietzia	0.764581607	0.093406593
f__Geodermatophilaceae|g__Geodermatophilus	0.834785888	0.065934066
f__Micrococcaceae|g__Arthrobacter	0.363261725	0.274725275
f__Micrococcaceae|g__Kocuria	0.906202124	-0.038461538
f__Micrococcaceae|g__Microbispora	0.373300689	0.269230769
f__Micrococcaceae|g__Micrococcus	0.682631672	0.126373626
f__Micrococcaceae|g__Rothia	0.820631823	0.071428571
f__Micromonosporaceae|g__Catellatospora	0.553621558	-0.181318681
f__Micromonosporaceae|g__Pilimelia	0.877522991	-0.049450549
f__Nocardiaceae|g__Rhodococcus	0.306287044	0.307692308
f__Propionibacteriaceae|g__Propionibacterium	0.891846567	0.043956044
f__Bifidobacteriaceae|g__Bifidobacterium	0.949418437	-0.021978022
f__Coriobacteriaceae|g__Adlercreutzia	0.306287044	0.307692308
f__Coriobacteriaceae|g__Collinsella	0.992769769	0.005494505
f__Coriobacteriaceae|g__Eggerthella	0.40432821	-0.252747253
f__Coriobacteriaceae|g__Paraeggerthella	0.436693258	0.236263736
f__Coriobacteriaceae|g__Slackia	0.553621558	0.181318681
f__Rubrobacteraceae|g__Rubrobacter	0.40432821	-0.252747253
f__Bacteroidaceae|g__Bacteroides	0.247006584	-0.346153846
f__Porphyromonadaceae|g__Parabacteroides	0.105719185	-0.472527473
f__Porphyromonadaceae|g__Porphyromonas	0.383492244	0.263736264
f__Prevotellaceae|g__Prevotella	0.447771588	0.230769231
f__Rikenellaceae|g__Alistipes	0.566023611	-0.175824176
f__Rikenellaceae|g__PW3	0.447771588	0.230769231
f__[Odoribacteraceae]|g__Butyricimonas	0.863235584	0.054945055
f__[Odoribacteraceae]|g__Odoribacter	0.373300689	-0.269230769
f__[Paraprevotellaceae]|g__[Prevotella]	0.863235584	0.054945055
f__[Weeksellaceae]|g__Chryseobacterium	0.447771588	0.230769231
f__Deferribacteraceae|g__Mucispirillum	0.088874294	0.494505495
f__Bacillaceae|g__Bacillus	0.934992303	-0.027472527
f__Listeriaceae|g__Brochothrix	0.373300689	0.269230769
f__Paenibacillaceae|g__Brevibacillus	0.505254856	0.203296703
f__Staphylococcaceae|g__Macrococcus	0.414969917	0.247252747
f__Staphylococcaceae|g__Staphylococcus	0.209430603	0.373626374
f__[Exiguobacteraceae]|g__Exiguobacterium	0.315390822	0.302197802
f__Aerococcaceae|g__Abiotrophia	0.517155182	0.197802198
f__Carnobacteriaceae|g__Carnobacterium	0.578544469	0.17032967
f__Carnobacteriaceae|g__Granulicatella	0.005290079	0.741758242
f__Enterococcaceae|g__Enterococcus	0.145930216	0.428571429
f__Enterococcaceae|g__Vagococcus	0.4257588	0.241758242
f__Lactobacillaceae|g__Lactobacillus	0.33407089	0.291208791
f__Leuconostocaceae|g__Leuconostoc	0.863235584	0.054945055
f__Leuconostocaceae|g__Weissella	0.77850131	0.087912088
f__Streptococcaceae|g__Lactococcus	0.517155182	0.197802198
