V1	V2	V3	V4	V5
EC:1_1_1_339	2.82842172658432	C	2.37816204573261	0.025952456022374355
EC:1_1_1_58	3.60867688027084	T	2.74596713834872	0.016762336177186445
EC:1_1_1_69	3.72403708608401	T	2.69230305525274	0.04330814281079172
EC:1_13_11_75	2.50396992988005	T	2.13083281011947	0.04776124267510393
EC:1_13_12_16	3.47066587211818	C	2.72601372998858	0.045488787749747676
EC:1_2_1_21	2.84047299972038	T	2.07266089223533	0.013347575926843177
EC:1_2_1_22	2.84055128896813	T	2.06836270894855	0.013347575926843177
EC:1_21_98_1	2.7853061931989	C	2.12559778023386	0.020921335337793955
EC:1_3_1_33	2.50749276341469	T	2.13179305354057	0.03199733937639145
EC:1_5_1_49	2.56038992747838	C	2.16951342985768	0.011883077001124221
EC:1_7_7_2	2.5109869731195	T	2.13252385964378	0.024605401927148125
EC:1_7_99_1	4.10569112997137	T	2.86402226392526	0.04776124267510393
EC:2_1_1_132	3.58285532108562	T	2.5611724549881	0.04776124267510393
EC:2_1_2_9	4.18842812894699	C	2.60378321380796	0.04121648808790369
EC:2_1_3_1	2.58756406286517	C	2.08966103570959	0.027362804465867478
EC:2_4_1_15	3.48055310408938	T	2.68469157370106	0.028838793626490333
EC:2_4_1_180	2.89824508872596	T	2.13343758998932	0.03368484623624001
EC:2_4_1_187	3.81827888250187	T	2.90924686994531	0.028838793626490333
EC:2_4_2_12	3.00290240777358	C	2.50798329869614	0.011205719166352159
EC:2_5_1_120	2.98357864690024	C	2.41607896741394	0.009374768459434878
EC:2_6_1_42	4.16373361627549	C	2.59724019193228	0.007815569381540608
EC:2_7_1_16	3.10846539116524	T	2.12591057791956	0.04330814281079172
EC:2_7_7_43	3.4008962795378	T	2.65399543342792	0.037289076813638966
EC:2_8_2_22	3.00114087032829	C	2.35912496707296	0.04776124267510393
EC:3_1_3_12	3.47813620407263	T	2.68278598085698	0.028838793626490333
EC:3_2_1_135	2.94304042906	C	2.52188358992494	0.005375049092050535
EC:3_2_1_180	3.57158015900375	T	2.746835576459	0.04330814281079172
EC:3_2_1_3	2.56806486958067	C	2.20670152261099	0.0044340083031006484
EC:3_2_1_8	3.40172600869722	T	2.57736264299823	0.027362804465867478
EC:3_4_24_3	2.99433658540418	C	2.58822155965939	0.011883077001124221
EC:3_5_4_16	4.12472210750824	C	2.60610011739422	0.03368484623624001
EC:3_5_4_2	3.61212566817734	T	2.65012176026303	0.024605401927148125
EC:3_5_4_3	3.47182614865942	T	2.50967424985434	0.014969380578654292
EC:3_6_3_12	4.217183598479	T	3.30560044640091	0.030382821976577493
EC:3_6_3_20	3.01102922154785	T	2.12311689324998	0.025952456022374355
EC:4_1_1_12	3.53526857157848	T	2.68566995479134	0.04121648808790369
EC:4_1_1_50	3.51783200817708	C	2.82329562803909	0.010562872887388641
EC:4_1_2_13	4.36739253188019	T	2.75934283129367	0.022092055291800392
EC:4_1_2_52	3.09266075435847	T	2.09320601183051	0.028838793626490333
EC:4_2_1_115	2.86687999595098	C	2.41506185955752	0.0026084434918926774
EC:4_2_1_129	2.71203346887663	T	2.17359816721317	0.016762336177186445
EC:4_2_1_151	2.78722871411867	C	2.12890202541424	0.022092055291800392
EC:4_2_1_40	2.87420064830552	T	2.07889782789509	0.00830736241983907
EC:4_2_1_7	3.80026575768015	T	2.96005994627775	0.005375049092050535
EC:4_2_1_8	3.96045546723838	T	3.04342537946506	0.030382821976577493
EC:4_2_3_3	3.96794930511852	T	2.88098351725184	0.04776124267510393
EC:5_1_3_30	2.86825172439941	T	2.10310594251429	0.019805055543417653
EC:5_1_3_31	2.86825172439941	T	2.10310594251429	0.019805055543417653
EC:5_3_1_12	3.81515034401029	T	2.75724294619721	0.027362804465867478
EC:5_3_1_17	3.870818209196	T	3.02076432155558	0.035447892552461
EC:5_4_99_17	2.71203346887663	T	2.17359816721317	0.016762336177186445
EC:5_4_99_9	3.71008489838813	T	2.66682812856771	0.024605401927148125
EC:6_1_1_23	2.98732686864903	T	2.02655140605267	0.045488787749747676
EC:6_3_2_32	2.50580508008393	C	2.10158231265298	0.027362804465867478
