EC,I2,Q_test,model_p,Coefficient,C.lower,C.upper
EC:1.1.1.1,38.2502666268633,0.139217019677641,0.0431095247372379,0.235022004414381,0.0072835024258118,0.462760506402949
EC:1.1.1.100,60.7471096852296,0.0300007522583566,0.0116893929547777,0.376234759938518,0.0837738208163876,0.668695699060648
EC:1.1.1.102,0,0.712700008482786,0.865866592891196,-0.0134710623093108,-0.169782884818402,0.14284076019978
EC:1.1.1.103,0,0.695903264394203,0.924435896790117,0.00756453830142576,-0.148751766399778,0.16388084300263
EC:1.1.1.105,0,0.866027035870443,0.00090982517932429,-0.26561116501951,-0.422555661953357,-0.108666668085663
EC:1.1.1.108,0.00185527136719682,0.281177964798482,0.859284438903551,-0.0141557572662986,-0.170653801543883,0.142342287011286
EC:1.1.1.11,12.4528639812373,0.27109533368673,0.857420410578231,0.0163465309502977,-0.161983755537,0.194676817437596
EC:1.1.1.122,0,0.526317496519503,0.875694881224789,0.0124808567076658,-0.143896988298673,0.168858701714004
EC:1.1.1.125,0,0.940917544180366,0.918805694001099,0.00812542057997858,-0.148101831554017,0.164352672713974
EC:1.1.1.130,6.17771914928929,0.538496777151644,0.626654648574919,-0.0415181257422312,-0.208802667552699,0.125766416068237
EC:1.1.1.132,0.00309206587660802,0.326044607559657,0.0324300172868126,0.171083117852762,0.0143249081875847,0.327841327517939
EC:1.1.1.133,0,0.709564669004286,0.455562856821323,0.0595219961622995,-0.0968237218460578,0.215867714170657
EC:1.1.1.136,17.6726041041784,0.245930136496216,0.129051578635448,0.145383301630626,-0.0423464212202983,0.333113024481551
EC:1.1.1.137,28.7664648101927,0.299664011529002,0.0021097451477639,-0.327738495631327,-0.536680031504425,-0.11879695975823
EC:1.1.1.14,0.814210706275088,0.681066860235836,0.00866989786712836,0.211900944550477,0.0536726371991502,0.370129251901803
EC:1.1.1.140,0,0.712824727049784,0.0743575141690974,-0.142489548181664,-0.298997757231489,0.0140186608681609
EC:1.1.1.145,4.51642560106624,0.271236483576217,0.408275736591933,0.102066044448146,-0.139847229503907,0.343979318400198
EC:1.1.1.157,16.7489189819205,0.159910381939316,0.608553662032937,-0.0486091965660511,-0.23463731814712,0.137418925015018
EC:1.1.1.159,0,0.743041506808287,0.61651209386977,-0.0399408842226462,-0.196256261285728,0.116374492840436
EC:1.1.1.163,64.8636077111828,0.0438796859696649,0.288233916937416,-0.166430865243939,-0.473584636817692,0.140722906329813
EC:1.1.1.169,14.1413362505042,0.527554332146298,0.572655593758038,0.0521056101538612,-0.128920821367303,0.233132041675025
EC:1.1.1.17,0,0.763228425291216,0.901543383519633,0.00986519097863342,-0.146428729783146,0.166159111740413
EC:1.1.1.173,52.4447842405695,0.0977150410310536,0.911741508595976,0.0198040455701511,-0.330380526387589,0.369988617527891
EC:1.1.1.179,5.43118924720273,0.313994522544161,0.855582696304543,-0.0154251325973211,-0.181538858327266,0.150688593132624
EC:1.1.1.18,0,0.613155879017921,0.0341745872051633,0.169253383073806,0.0126293762299546,0.325877389917657
EC:1.1.1.193,58.607327842582,0.0464874561901986,0.0334212889937027,-0.307920522655346,-0.591661590915346,-0.0241794543953467
EC:1.1.1.2,0.00445719104461008,0.398752603808956,0.877728855782003,-0.0132361650237914,-0.181858770586099,0.155386440538516
EC:1.1.1.202,0,0.615652609195499,0.0628402491536485,0.148599682157232,-0.00795940818906921,0.305158772503533
EC:1.1.1.203,42.4737826909709,0.0913065680940054,0.862652899581577,0.0208880834810314,-0.215761248820604,0.257537415782667
